"id","presente","id_vereador","id_sessao","timestamp"
3482,true,40,47,2019-11-26 23:17:18
3483,true,40,48,2019-11-26 23:17:18
3484,true,40,49,2019-11-26 23:17:18
3485,true,40,58,2019-11-26 23:17:18
3486,true,40,59,2019-11-26 23:17:18
3487,true,40,60,2019-11-26 23:17:18
3488,true,40,61,2019-11-26 23:17:18
3489,true,40,62,2019-11-26 23:17:18
3490,true,40,63,2019-11-26 23:17:19
3491,true,40,64,2019-11-26 23:17:19
3492,true,40,65,2019-11-26 23:17:19
3493,true,40,90,2019-11-26 23:17:19
3494,true,40,67,2019-11-26 23:17:19
3495,true,40,68,2019-11-26 23:17:19
3496,true,40,69,2019-11-26 23:17:19
3497,true,40,70,2019-11-26 23:17:19
3498,true,40,71,2019-11-26 23:17:19
3499,true,40,72,2019-11-26 23:17:19
3500,true,40,73,2019-11-26 23:17:19
3501,true,40,74,2019-11-26 23:17:19
3502,true,40,75,2019-11-26 23:17:19
3503,true,40,78,2019-11-26 23:17:19
3504,true,40,79,2019-11-26 23:17:19
3505,true,40,80,2019-11-26 23:17:19
3506,true,40,81,2019-11-26 23:17:19
3507,true,40,82,2019-11-26 23:17:19
3508,true,40,83,2019-11-26 23:17:19
3509,true,40,84,2019-11-26 23:17:19
3510,true,40,85,2019-11-26 23:17:19
3511,true,40,86,2019-11-26 23:17:19
3512,true,40,87,2019-11-26 23:17:19
3513,true,40,88,2019-11-26 23:17:19
3514,true,40,89,2019-11-26 23:17:19
3515,true,40,91,2019-11-26 23:17:19
3516,true,40,92,2019-11-26 23:17:19
3517,true,40,93,2019-11-26 23:17:19
3518,true,40,94,2019-11-26 23:17:19
3519,true,40,95,2019-11-26 23:17:19
3520,true,40,96,2019-11-26 23:17:19
3521,true,40,97,2019-11-26 23:17:19
3522,true,40,98,2019-11-26 23:17:19
3523,true,40,99,2019-11-26 23:17:19
3524,true,40,100,2019-11-26 23:17:19
3525,true,40,101,2019-11-26 23:17:19
