"id","vereador","aluguel","condominio","energia","agua","iptu_tpei","internet_telefone","trasporte_hospedagens","locacao_automovel","pecas_veiculos","servicos","material_expediente","locacao_equipamentos","assinaturas_jornais","servicos_graficos","total_apresentado","glosa","pago_no_mes","media_mensal","media_mensal_acumulada","data","timestamp","id_vereador"
967,WANDERSON SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019/07",2019-11-24 21:48:59,2
527,ALINE MARIANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019/11",2019-11-24 21:48:49,13
235,FRED FERREIRA,0,0,0,0,0,0,0,4753.23,0,0,0,0,0,0,4753.23,153.23,4600,2745.414285714286,0,"2017/07",2019-11-24 21:48:43,29
823,MARÍLIA ARRAES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019/07",2019-11-24 21:48:56,16
931,ROMERINHO JATOBÁ ,0,0,0,0,0,0,0,4650,0,0,0,0,0,0,4650,50,4600,4514.285714285715,0,"2019/07",2019-11-24 21:48:58,3
352,NATÁLIA DE MENUDO,0,0,0,0,0,0,0,1950,0,0,0,0,0,0,1950,0,1950,1950,0,"2017/04",2019-11-24 21:48:45,26
522,ALINE MARIANO,430,667.4,0,0,85,0,0,3600,0,0,0,0,0,0,4782.4,182.4,4600,4600,0,"2019/06",2019-11-24 21:48:49,13
1315,MARÍLIA ARRAES,0,0,0,0,0,0,0,3720,0,0,0,0,0,0,3720,0,3720,3634.285714285714,0,"2018/07",2019-11-24 21:49:05,16
194,EDUARDO CHERA,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,1200,2000,2000,0,"2017/02",2019-11-24 21:48:42,35
384,RINALDO JÚNIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017/12",2019-11-24 21:48:45,28
799,JÚNIOR BOCÃO,0,0,0,0,0,0,0,5583.1,0,0,0,0,0,0,5583.1,983.1,4600,4549.297142857143,0,"2019/07",2019-11-24 21:48:55,6
1151,CHICO KIKO,938.34,0,275.06,0,0,0,0,0,0,3500,0,0,0,0,4713.4,113.4,4600,4570.696363636364,0,"2018/11",2019-11-24 21:49:02,22
896,RINALDO JÚNIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019/08",2019-11-24 21:48:57,28
1189,EDUARDO MARQUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/01",2019-11-24 21:49:03,32
1337,NATÁLIA DE MENUDO,0,0,0,0,0,0,0,4550,0,0,0,0,0,0,4550,0,4550,4550,0,"2018/05",2019-11-24 21:49:06,26
891,RINALDO JÚNIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019/03",2019-11-24 21:48:57,28
330,MARÍLIA ARRAES,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,3600,0,3600,2410,0,"2017/06",2019-11-24 21:48:44,16
1387,RICARDO CRUZ,2000,0,0,0,0,0,0,1880,0,0,0,0,0,0,3880,0,3880,3452.2400000000002,0,"2018/07",2019-11-24 21:49:07,17
715,GILBERTO ALVES,0,0,0,0,0,0,0,2380,0,0,1387,0,0,0,3767,0,3767,4410.857142857143,0,"2019/07",2019-11-24 21:48:53,5
400,RICARDO CRUZ,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,1000,0,"2017/04",2019-11-24 21:48:46,17
1115,AUGUSTO CARRERAS,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,4200,0,4200,4200,0,"2018/11",2019-11-24 21:49:02,1
1225,GILBERTO ALVES,0,0,0,0,0,0,0,4553,0,0,0,0,0,0,4553,0,4553,4553,0,"2018/01",2019-11-24 21:49:04,5
1213,FRED FERREIRA,0,0,0,0,0,0,0,4753.33,0,0,0,0,0,0,4753.33,153.33,4600,4600,0,"2018/01",2019-11-24 21:49:04,29
454,ROMERO ALBUQUERQUE,0,0,0,0,0,0,0,5521.1,0,0,0,0,0,0,5521.1,921.1,4600,3820,0,"2017/10",2019-11-24 21:48:47,10
866,RENATO ANTUNES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019/02",2019-11-24 21:48:56,27
307,JÚNIOR BOCÃO,0,0,0,0,0,0,0,4699.91,0,0,0,0,0,0,4699.91,99.91,4600,2991.4314285714286,0,"2017/07",2019-11-24 21:48:44,6
1422,ROMERINHO JATOBÁ ,0,0,0,0,0,0,0,3000,0,0,0,0,0,1120,4120,0,4120,3640,0,"2018/06",2019-11-24 21:49:08,3
587,ANTONIO LUIZ NETO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019/11",2019-11-24 21:48:50,9
669,EDUARDO CHERA,3200,0,0,0,0,0,0,1400,0,0,0,0,0,0,4600,0,4600,4600,0,"2019/09",2019-11-24 21:48:52,35
1130,CARLOS GUEIROS,0,0,0,0,0,0,0,0,0,0,342.21999999999997,1189.9,0,0,1532.1200000000001,0,1532.1200000000001,766.0600000000001,0,"2018/02",2019-11-24 21:49:02,18
963,WANDERSON SOBRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2019/03",2019-11-24 21:48:58,2
