"id","vereador","total_vantagens","descontos_totais","valor_liquido","data","timestamp","id_vereador"
544,BENJAMIM G DA SILVA JUNIOR,14635,3077.07,11557.93,"2019/06",2019-11-23 12:25:43,6
538,ALMIR FERNANDO ALVES,14635,2926.49,11708.51,"2019/06",2019-11-23 12:25:43,8
504,ANTONIO LUIZ DA SILVA NETO,14635,2880.21,11754.79,"2019/01",2019-11-23 12:25:42,9
542,ANTONIO LUIZ DA SILVA NETO,14635,2874.35,11760.65,"2019/06",2019-11-23 12:25:43,9
534,AERTO DE BRITO LUNA,14635,2874.35,11760.65,"2019/06",2019-11-23 12:25:42,39
511,EDUARDO PEREIRA DA SILVA,14635,2828.07,11806.93,"2019/01",2019-11-23 12:25:42,35
549,EDUARDO PEREIRA DA SILVA,14635,2822.21,11812.79,"2019/06",2019-11-23 12:25:43,35
493,ROMERO L B DE ALBUQUERQUE,14635,3623.62,11011.38,"2017/02",2019-11-23 12:25:41,10
530,ROMERO JATOBA C NETO,14635,2984.48,11650.52,"2019/01",2019-11-23 12:25:42,10
531,ROMERO L B DE ALBUQUERQUE,14635,2984.48,11650.52,"2019/01",2019-11-23 12:25:42,10
497,AIMEE SILVA DE CARVALHO,14635,2984.48,11650.52,"2019/01",2019-11-23 12:25:42,11
499,ALINE BRITO MARTINS DA FONSECA,14635,2932.34,11702.66,"2019/01",2019-11-23 12:25:42,13
537,ALINE BRITO MARTINS DA FONSECA,14635,2926.49,11708.51,"2019/06",2019-11-23 12:25:43,13
557,JOAO DA COSTA BEZERRA FILHO,14635,2978.62,11656.38,"2019/06",2019-11-23 12:25:43,14
503,ANDRE REGIS DE CARVALHO,14635,2880.21,11754.79,"2019/01",2019-11-23 12:25:42,15
541,ANDRE REGIS DE CARVALHO,14635,2874.35,11760.65,"2019/06",2019-11-23 12:25:43,15
484,MARILIA V R ARRAES DE A PONTES,14635,3623.62,11011.38,"2017/02",2019-11-23 12:25:41,16
522,MARILIA V R ARRAES DE A PONTES,14635,2984.48,11650.52,"2019/01",2019-11-23 12:25:42,16
488,RICARDO JORGE DA CRUZ,14635,3623.62,11011.38,"2017/02",2019-11-23 12:25:41,17
507,CARLOS ALBERTO GUEIROS,14635,2984.48,11650.52,"2019/01",2019-11-23 12:25:42,18
545,CARLOS ALBERTO GUEIROS,14635,2978.62,11656.38,"2019/06",2019-11-23 12:25:43,18
490,RODRIGO B COUTINHO DE MELO,14635,3623.62,11011.38,"2017/02",2019-11-23 12:25:41,19
528,RODRIGO B COUTINHO DE MELO,14635,2984.48,11650.52,"2019/01",2019-11-23 12:25:42,19
501,AMARO CIPRIANO DE LIMA,14635,2984.48,11650.52,"2019/01",2019-11-23 12:25:42,20
539,AMARO CIPRIANO DE LIMA,14635,2978.62,11656.38,"2019/06",2019-11-23 12:25:43,20
509,DAVI BERNARDO MUNIZ,14635,2880.21,11754.79,"2019/01",2019-11-23 12:25:42,21
547,DAVI BERNARDO MUNIZ,14635,2874.35,11760.65,"2019/06",2019-11-23 12:25:43,21
512,FRANCISCO FERREIRA DA S FILHO,14635,2981.76,11653.24,"2019/01",2019-11-23 12:25:42,22
491,ROGERIO LIMA DE LUCCA,14635,3103.13,11531.87,"2017/02",2019-11-23 12:25:41,24
529,ROGERIO LIMA DE LUCCA,14635,3103.13,11531.87,"2019/01",2019-11-23 12:25:42,24
487,RAFAEL ACIOLI MEDEIROS,14635,4355.37,10279.63,"2017/02",2019-11-23 12:25:41,25
525,RAFAEL ACIOLI MEDEIROS,14635,2984.48,11650.52,"2019/01",2019-11-23 12:25:42,25
485,NATALIA R COUTO BARBOSA,14635,3623.62,11011.38,"2017/02",2019-11-23 12:25:41,26
523,NATALIA R COUTO BARBOSA,14635,2984.48,11650.52,"2019/01",2019-11-23 12:25:42,26
486,PAULO RENATO A GUIMARAES,14635,3519.34,11115.66,"2017/02",2019-11-23 12:25:41,27
527,RINALDO ALVES DE L JUNIOR,14635,2828.07,11806.93,"2019/01",2019-11-23 12:25:42,28
500,ALMIR FERNANDO ALVES,14635,2932.34,11702.66,"2019/01",2019-11-23 12:25:42,8
558,JOSE WILTON DE B CAVALCANTI,14635,2926.49,11708.51,"2019/06",2019-11-23 12:25:43,30
510,EDUARDO AMORIM MARQUES CUNHA,14635,2984.48,11650.52,"2019/01",2019-11-23 12:25:42,32
548,EDUARDO AMORIM MARQUES CUNHA,14635,2978.62,11656.38,"2019/06",2019-11-23 12:25:43,32
482,MARCO AURELIO DE M  LIMA,14635,3571.48,11063.52,"2017/02",2019-11-23 12:25:41,34
